well,ploidy,line,time,environment,od
A1,,,anc,nacl,
A2,1,5,anc,nacl,0.909
A3,2,5,evol,nacl,0.766
A4,2,1,anc,nacl,0.759
A5,1,1,anc,nacl,0.854
A6,2,2,evol,nacl,0.791
A7,1,2,anc,nacl,0.989
A8,2,4,anc,nacl,0.841
A9,2,3,evol,nacl,0.801
A10,2,5,anc,nacl,0.875
A11,1,2,evol,nacl,0.816
A12,,,anc,nacl,
B1,,,evol,nacl,
B2,1,5,anc,nacl,0.869
B3,2,5,evol,nacl,0.779
B4,2,1,anc,nacl,0.839
B5,1,1,anc,nacl,0.962
B6,2,2,evol,nacl,0.699
B7,1,2,anc,nacl,0.972
B8,2,4,anc,nacl,0.854
B9,2,3,evol,nacl,0.737
B10,2,5,anc,nacl,0.851
B11,1,2,evol,nacl,0.903
B12,,,anc,nacl,
C1,,,evol,nacl,
C2,1,5,anc,nacl,0.93
C3,2,5,evol,nacl,0.817
C4,2,1,anc,nacl,0.814
C5,1,1,anc,nacl,0.84
C6,2,2,evol,nacl,0.747
C7,1,2,anc,nacl,0.921
C8,2,4,anc,nacl,0.802
C9,2,3,evol,nacl,0.851
C10,2,5,anc,nacl,0.885
C11,1,2,evol,nacl,0.887
C12,,,anc,nacl,
D1,,,evol,nacl,
D2,1,5,anc,nacl,0.979
D3,2,5,evol,nacl,0.856
D4,2,1,anc,nacl,0.88
D5,1,1,anc,nacl,0.991
D6,2,2,evol,nacl,0.774
D7,1,2,anc,nacl,0.958
D8,2,4,anc,nacl,0.869
D9,2,3,evol,nacl,0.858
D10,2,5,anc,nacl,0.92
D11,1,2,evol,nacl,0.911
D12,,,anc,nacl,
E1,,,evol,nacl,
E2,1,3,anc,nacl,0.848
E3,1,4,anc,nacl,0.845
E4,1,5,evol,nacl,0.828
E5,1,3,evol,nacl,0.867
E6,1,4,evol,nacl,0.855
E7,2,4,evol,nacl,0.864
E8,1,1,evol,nacl,0.825
E9,2,1,evol,nacl,0.845
E10,2,3,anc,nacl,0.901
E11,2,2,anc,nacl,0.928
E12,,,anc,nacl,
F1,,,evol,nacl,
F2,1,3,anc,nacl,1.007
F3,1,4,anc,nacl,0.927
F4,1,5,evol,nacl,0.799
F5,1,3,evol,nacl,0.859
F6,1,4,evol,nacl,0.863
F7,2,4,evol,nacl,0.83
F8,1,1,evol,nacl,0.85
F9,2,1,evol,nacl,0.864
F10,2,3,anc,nacl,0.877
F11,2,2,anc,nacl,0.874
F12,,,anc,nacl,
G1,,,evol,nacl,
G2,1,3,anc,nacl,0.989
G3,1,4,anc,nacl,0.837
G4,1,5,evol,nacl,0.745
G5,1,3,evol,nacl,0.855
G6,1,4,evol,nacl,0.849
G7,2,4,evol,nacl,0.734
G8,1,1,evol,nacl,0.74
G9,2,1,evol,nacl,0.77
G10,2,3,anc,nacl,0.79
G11,2,2,anc,nacl,0.839
G12,,,anc,nacl,
H1,,,evol,nacl,
H2,1,3,anc,nacl,0.953
H3,1,4,anc,nacl,0.928
H4,1,5,evol,nacl,0.831
H5,1,3,evol,nacl,0.99
H6,1,4,evol,nacl,0.896
H7,2,4,evol,nacl,0.812
H8,1,1,evol,nacl,0.825
H9,2,1,evol,nacl,0.792
H10,2,3,anc,nacl,0.854
H11,2,2,anc,nacl,0.855
H12,,,,nacl,
A2,2,1,evol,ypd,1.134
B2,2,1,evol,ypd,1.007
C2,2,1,evol,ypd,1.137
D2,2,1,evol,ypd,0.907
E2,1,1,anc,ypd,0.944
F2,1,1,anc,ypd,1.072
G2,1,1,anc,ypd,0.988
H2,1,1,anc,ypd,1.031
A3,1,1,evol,ypd,0.88
B3,1,1,evol,ypd,1.109
C3,1,1,evol,ypd,1.158
D3,1,1,evol,ypd,1.221
E3,2,2,evol,ypd,0.793
F3,2,2,evol,ypd,0.978
G3,2,2,evol,ypd,0.931
H3,2,2,evol,ypd,0.926
A4,1,5,evol,ypd,0.837
B4,1,5,evol,ypd,1.119
C4,1,5,evol,ypd,1.097
D4,1,5,evol,ypd,1.022
E4,1,2,anc,ypd,1.007
F4,1,2,anc,ypd,1.036
G4,1,2,anc,ypd,0.986
H4,1,2,anc,ypd,1.014
A5,2,3,evol,ypd,0.611
B5,2,3,evol,ypd,0.931
C5,2,3,evol,ypd,0.723
D5,2,3,evol,ypd,0.934
E5,1,3,evol,ypd,1.006
F5,1,3,evol,ypd,1.001
G5,1,3,evol,ypd,0.982
H5,1,3,evol,ypd,1.066
A6,1,5,anc,ypd,1.04
B6,1,5,anc,ypd,1.062
C6,1,5,anc,ypd,1.011
D6,1,5,anc,ypd,0.853
E6,2,3,anc,ypd,0.908
F6,2,3,anc,ypd,0.861
G6,2,3,anc,ypd,0.923
H6,2,3,anc,ypd,0.888
A7,1,2,evol,ypd,0.866
B7,1,2,evol,ypd,0.764
C7,1,2,evol,ypd,0.744
D7,1,2,evol,ypd,1.066
E7,1,4,evol,ypd,1.014
F7,1,4,evol,ypd,1.071
G7,1,4,evol,ypd,0.912
H7,1,4,evol,ypd,1.019
A8,1,3,anc,ypd,0.778
B8,1,3,anc,ypd,0.862
C8,1,3,anc,ypd,0.796
D8,1,3,anc,ypd,1.06
E8,2,1,anc,ypd,0.863
F8,2,1,anc,ypd,0.856
G8,2,1,anc,ypd,0.9
H8,2,1,anc,ypd,0.937
A9,1,4,anc,ypd,0.981
B9,1,4,anc,ypd,1.02
C9,1,4,anc,ypd,0.875
D9,1,4,anc,ypd,1.085
E9,2,2,anc,ypd,0.849
F9,2,2,anc,ypd,0.973
G9,2,2,anc,ypd,0.87
H9,2,2,anc,ypd,0.928
A10,2,5,evol,ypd,0.845
B10,2,5,evol,ypd,0.582
C10,2,5,evol,ypd,0.962
D10,2,5,evol,ypd,0.876
E10,2,4,anc,ypd,0.848
F10,2,4,anc,ypd,1.005
G10,2,4,anc,ypd,0.879
H10,2,4,anc,ypd,0.972
A11,2,4,evol,ypd,0.684
B11,2,4,evol,ypd,0.871
C11,2,4,evol,ypd,0.953
D11,2,4,evol,ypd,0.996
E11,2,5,anc,ypd,0.812
F11,2,5,anc,ypd,0.85
G11,2,5,anc,ypd,0.897
H11,2,5,anc,ypd,0.893
A2,1,1,evol,koh,0.757
B2,1,1,evol,koh,0.837
C2,1,1,evol,koh,0.851
D2,1,1,evol,koh,0.836
E2,2,5,anc,koh,0.649
F2,2,5,anc,koh,0.705
G2,2,5,anc,koh,0.625
H2,2,5,anc,koh,0.73
A3,1,1,anc,koh,0.821
B3,1,1,anc,koh,0.896
C3,1,1,anc,koh,0.928
D3,1,1,anc,koh,0.883
E3,1,2,anc,koh,0.89
F3,1,2,anc,koh,0.903
G3,1,2,anc,koh,0.849
H3,1,2,anc,koh,0.865
A4,2,2,evol,koh,0.87
B4,2,2,evol,koh,0.794
C4,2,2,evol,koh,0.819
D4,2,2,evol,koh,0.868
E4,2,2,anc,koh,0.657
F4,2,2,anc,koh,0.711
G4,2,2,anc,koh,0.615
H4,2,2,anc,koh,0.655
A5,1,2,evol,koh,0.854
B5,1,2,evol,koh,0.809
C5,1,2,evol,koh,0.848
D5,1,2,evol,koh,0.893
E5,2,4,evol,koh,0.91
F5,2,4,evol,koh,0.899
G5,2,4,evol,koh,0.874
H5,2,4,evol,koh,0.831
A6,2,3,anc,koh,0.669
B6,2,3,anc,koh,0.712
C6,2,3,anc,koh,0.706
D6,2,3,anc,koh,0.776
E6,1,3,evol,koh,0.97
F6,1,3,evol,koh,0.911
G6,1,3,evol,koh,0.808
H6,1,3,evol,koh,0.925
A7,1,3,anc,koh,0.837
B7,1,3,anc,koh,0.887
C7,1,3,anc,koh,0.884
D7,1,3,anc,koh,0.911
E7,1,5,anc,koh,0.885
F7,1,5,anc,koh,0.886
G7,1,5,anc,koh,0.918
H7,1,5,anc,koh,0.951
A8,2,3,evol,koh,0.845
B8,2,3,evol,koh,0.876
C8,2,3,evol,koh,0.902
D8,2,3,evol,koh,0.892
E8,1,5,evol,koh,0.9
F8,1,5,evol,koh,0.968
G8,1,5,evol,koh,0.903
H8,1,5,evol,koh,0.926
A9,2,4,anc,koh,0.71
B9,2,4,anc,koh,0.746
C9,2,4,anc,koh,0.697
D9,2,4,anc,koh,0.74
E9,2,1,evol,koh,0.817
F9,2,1,evol,koh,0.867
G9,2,1,evol,koh,0.861
H9,2,1,evol,koh,0.909
A10,1,4,anc,koh,0.813
B10,1,4,anc,koh,0.88
C10,1,4,anc,koh,0.852
D10,1,4,anc,koh,0.855
E10,2,5,evol,koh,0.871
F10,2,5,evol,koh,0.945
G10,2,5,evol,koh,0.87
H10,2,5,evol,koh,0.879
A11,2,1,anc,koh,0.799
B11,2,1,anc,koh,0.843
C11,2,1,anc,koh,0.85
D11,2,1,anc,koh,0.845
E11,1,4,evol,koh,0.907
F11,1,4,evol,koh,0.966
G11,1,4,evol,koh,0.935
H11,1,4,evol,koh,0.974
A2,2,2,evol,hcl,0.944
B2,2,2,evol,hcl,0.964
C2,2,2,evol,hcl,0.94
D2,2,2,evol,hcl,0.93
E2,1,2,anc,hcl,1.066
F2,1,2,anc,hcl,1.099
G2,1,2,anc,hcl,1.047
H2,1,2,anc,hcl,1.094
A3,2,4,evol,hcl,0.902
B3,2,4,evol,hcl,0.989
C3,2,4,evol,hcl,0.961
D3,2,4,evol,hcl,0.972
E3,2,3,evol,hcl,0.914
F3,2,3,evol,hcl,0.922
G3,2,3,evol,hcl,0.932
H3,2,3,evol,hcl,0.947
A4,1,4,evol,hcl,1.063
B4,1,4,evol,hcl,0.895
C4,1,4,evol,hcl,0.894
D4,1,4,evol,hcl,0.908
E4,1,3,evol,hcl,1.023
F4,1,3,evol,hcl,1.037
G4,1,3,evol,hcl,0.979
H4,1,3,evol,hcl,1.036
A5,1,3,anc,hcl,0.969
B5,1,3,anc,hcl,0.856
C5,1,3,anc,hcl,0.96
D5,1,3,anc,hcl,0.983
E5,2,5,evol,hcl,0.886
F5,2,5,evol,hcl,0.927
G5,2,5,evol,hcl,0.856
H5,2,5,evol,hcl,0.855
A6,2,3,anc,hcl,0.724
B6,2,3,anc,hcl,0.982
C6,2,3,anc,hcl,0.885
D6,2,3,anc,hcl,1.042
E6,2,2,anc,hcl,0.896
F6,2,2,anc,hcl,0.996
G6,2,2,anc,hcl,0.947
H6,2,2,anc,hcl,1.009
A7,1,1,anc,hcl,0.933
B7,1,1,anc,hcl,0.976
C7,1,1,anc,hcl,0.935
D7,1,1,anc,hcl,0.951
E7,2,5,anc,hcl,0.976
F7,2,5,anc,hcl,0.987
G7,2,5,anc,hcl,0.905
H7,2,5,anc,hcl,1.021
A8,1,1,evol,hcl,1.036
B8,1,1,evol,hcl,1.035
C8,1,1,evol,hcl,1.054
D8,1,1,evol,hcl,1.095
E8,1,4,anc,hcl,1.048
F8,1,4,anc,hcl,1.11
G8,1,4,anc,hcl,1.074
H8,1,4,anc,hcl,1.135
A9,2,1,evol,hcl,0.943
B9,2,1,evol,hcl,0.934
C9,2,1,evol,hcl,0.925
D9,2,1,evol,hcl,0.966
E9,1,2,evol,hcl,1.015
F9,1,2,evol,hcl,1.017
G9,1,2,evol,hcl,1.02
H9,1,2,evol,hcl,1.091
A10,1,5,anc,hcl,1.066
B10,1,5,anc,hcl,1.12
C10,1,5,anc,hcl,1.134
D10,1,5,anc,hcl,1.177
E10,2,1,anc,hcl,0.931
F10,2,1,anc,hcl,0.988
G10,2,1,anc,hcl,0.945
H10,2,1,anc,hcl,0.99
A11,1,5,evol,hcl,1.018
B11,1,5,evol,hcl,1.066
C11,1,5,evol,hcl,1.102
D11,1,5,evol,hcl,1.116
E11,2,4,anc,hcl,0.942
F11,2,4,anc,hcl,0.994
G11,2,4,anc,hcl,1.003
H11,2,4,anc,hcl,1.068
A2,2,5,anc,ethanol,0.984
B2,2,5,anc,ethanol,0.976
C2,2,5,anc,ethanol,0.991
D2,2,5,anc,ethanol,1.069
E2,2,5,evol,ethanol,0.869
F2,2,5,evol,ethanol,0.963
G2,2,5,evol,ethanol,0.922
H2,2,5,evol,ethanol,0.978
A3,1,4,anc,ethanol,1.079
B3,1,4,anc,ethanol,1.144
C3,1,4,anc,ethanol,1.163
D3,1,4,anc,ethanol,1.207
E3,1,1,anc,ethanol,1.111
F3,1,1,anc,ethanol,1.135
G3,1,1,anc,ethanol,1.125
H3,1,1,anc,ethanol,1.164
A4,1,2,anc,ethanol,1.054
B4,1,2,anc,ethanol,1.118
C4,1,2,anc,ethanol,0.869
D4,1,2,anc,ethanol,1.123
E4,1,2,evol,ethanol,0.94
F4,1,2,evol,ethanol,1.134
G4,1,2,evol,ethanol,1.027
H4,1,2,evol,ethanol,1.149
A5,2,4,evol,ethanol,0.879
B5,2,4,evol,ethanol,0.873
C5,2,4,evol,ethanol,0.928
D5,2,4,evol,ethanol,0.993
E5,1,3,anc,ethanol,1.081
F5,1,3,anc,ethanol,1.127
G5,1,3,anc,ethanol,0.946
H5,1,3,anc,ethanol,1.135
A6,1,4,evol,ethanol,1.214
B6,1,4,evol,ethanol,0.956
C6,1,4,evol,ethanol,1.189
D6,1,4,evol,ethanol,1.251
E6,2,1,evol,ethanol,0.792
F6,2,1,evol,ethanol,0.945
G6,2,1,evol,ethanol,0.941
H6,2,1,evol,ethanol,1.009
A7,2,2,anc,ethanol,0.994
B7,2,2,anc,ethanol,1.072
C7,2,2,anc,ethanol,1.101
D7,2,2,anc,ethanol,1.051
E7,2,3,evol,ethanol,0.86
F7,2,3,evol,ethanol,0.961
G7,2,3,evol,ethanol,0.923
H7,2,3,evol,ethanol,0.991
A8,2,1,anc,ethanol,1.014
B8,2,1,anc,ethanol,1.037
C8,2,1,anc,ethanol,1.093
D8,2,1,anc,ethanol,1.102
E8,2,4,anc,ethanol,0.967
F8,2,4,anc,ethanol,1.015
G8,2,4,anc,ethanol,0.951
H8,2,4,anc,ethanol,1.071
A9,1,3,evol,ethanol,1.051
B9,1,3,evol,ethanol,1.133
C9,1,3,evol,ethanol,1.109
D9,1,3,evol,ethanol,1.16
E9,2,3,anc,ethanol,1.025
F9,2,3,anc,ethanol,1.083
G9,2,3,anc,ethanol,1.04
H9,2,3,anc,ethanol,1.075
A10,2,2,evol,ethanol,0.795
B10,2,2,evol,ethanol,0.839
C10,2,2,evol,ethanol,0.93
D10,2,2,evol,ethanol,0.959
E10,1,5,evol,ethanol,1.072
F10,1,5,evol,ethanol,1.058
G10,1,5,evol,ethanol,1.104
H10,1,5,evol,ethanol,1.149
A11,1,1,evol,ethanol,1.065
B11,1,1,evol,ethanol,0.93
C11,1,1,evol,ethanol,1.126
D11,1,1,evol,ethanol,1.063
E11,1,5,anc,ethanol,1.068
F11,1,5,anc,ethanol,1.142
G11,1,5,anc,ethanol,1.095
H11,1,5,anc,ethanol,